model_name,status_code,error_message
logmesquite_logvas,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
GLMM1_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
ldaK2,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
bym2_offset_only,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
logmesquite_logvolume,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
M0_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
radon_variable_intercept_centered,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
bones_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
earn_height,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
eight_schools_centered,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
hier_2pl,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
GLM_Poisson_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
eight_schools_noncentered,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
Survey_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
kidscore_interaction_c,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
gp_pois_regr,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
log10earn_height,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
seeds_centered_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
lotka_volterra,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
dugongs_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
wells_daae_c_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
arma11,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
blr,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
GLMM_Poisson_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
kilpisjarvi,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
one_comp_mm_elim_abs,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
wells_dae_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
covid19imperial_v3,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
wells_interaction_c_model,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
kidscore_interaction_z,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
accel_splines,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
hmm_drive_0,0,cannot import name 'ops_index' from 'stannumpyro.dppllib' (/mnt/43d3396d-0fde-4593-b19b-56bfdcb2a927/coding/stan/stan-num-pyro/stan-numpyro/stannumpyro/dppllib.py)
